Date,Open,High,Low,Close,Volume
1/7/2022,11.1,11.28,10.26,10.3,"135,248"
1/10/2022,10,10.29,9.64,10.22,"207,352"
1/11/2022,10.19,10.41,10.06,10.15,"81,486"
1/12/2022,10.21,10.46,9.65,9.68,"131,340"
1/13/2022,9.65,10.48,9.6,9.66,"205,569"
1/14/2022,9.51,9.94,9.29,9.29,"127,417"
1/18/2022,9.19,9.19,8.31,8.34,"271,149"
1/19/2022,8.36,8.84,8.01,8.04,"135,171"
1/20/2022,8.07,8.45,7.61,7.68,"206,048"
1/21/2022,7.5,7.65,7.16,7.22,"261,235"
1/24/2022,6.93,7.09,6.05,7.08,"389,488"
1/25/2022,6.97,7.08,6.58,6.87,"174,337"
1/26/2022,7.14,7.29,6.61,6.7,"168,400"
1/27/2022,6.78,6.78,6.03,6.11,"207,693"
1/28/2022,5.99,6.5,5.68,6.13,"271,600"
1/31/2022,6.1,6.81,6.1,6.66,"184,437"
2/1/2022,6.8,7.38,6.7,6.86,"162,348"
2/2/2022,6.99,7.14,6.67,6.8,"122,969"
2/3/2022,6.6,6.7,6.12,6.35,"104,221"
2/4/2022,6.35,6.81,6.3,6.6,"87,964"
2/7/2022,6.61,6.79,6.29,6.5,"137,246"
2/8/2022,6.42,6.72,6.34,6.48,"69,234"
2/9/2022,6.74,7.23,6.62,6.9,"210,532"
2/10/2022,6.7,7.11,6.55,6.77,"156,813"
2/11/2022,6.78,6.88,6.45,6.76,"160,908"
2/14/2022,6.72,6.9,6.57,6.65,"120,991"
2/15/2022,6.8,7.5,6.8,7.15,"110,274"
2/16/2022,7.09,7.38,6.93,7.36,"126,611"
2/17/2022,7.35,7.45,7.13,7.39,"97,500"
2/18/2022,7.3,7.41,7.02,7.27,"156,881"
2/22/2022,7.14,7.37,6.89,7.27,"240,982"
2/23/2022,7.45,7.49,6.81,7,"103,373"
2/24/2022,6.64,7.17,6.41,6.92,"178,794"
2/25/2022,6.88,6.99,6.8,6.92,"37,458"
2/28/2022,7.16,7.42,6.85,7.42,"122,218"
3/1/2022,7.37,7.42,7.03,7.16,"50,280"
3/2/2022,7.23,7.23,6.91,6.97,"80,020"
3/3/2022,7.03,7.2,6.78,7,"88,692"
3/4/2022,6.9,7.06,6.61,6.68,"57,416"
3/7/2022,6.72,6.92,6.62,6.72,"78,890"
3/8/2022,6.82,7.57,6.65,7.16,"137,217"
3/9/2022,7.18,7.53,7.05,7.4,"72,858"
3/10/2022,7.18,7.44,7.02,7.38,"59,110"
3/11/2022,7.36,7.37,6.96,7,"58,888"
3/14/2022,7,7,6.3,6.31,"121,015"
3/15/2022,6.32,6.59,5.81,5.98,"147,094"
3/16/2022,6.16,6.24,5.8,6.04,"111,834"
3/17/2022,6.1,6.99,6.1,6.94,"111,803"
3/18/2022,6.79,7.42,6.68,7.38,"120,398"
3/21/2022,7.3,7.5,7.17,7.42,"54,806"
3/22/2022,7.59,7.68,6.82,7.07,"242,706"
3/23/2022,7.08,7.15,6.7,6.7,"151,412"
3/24/2022,7.1,8.3,6.88,7.95,"445,802"
3/25/2022,8.07,8.28,7.5,7.64,"184,104"
3/28/2022,7.9,8.09,7.43,7.95,"139,986"
3/29/2022,8.17,8.34,8.01,8.07,"141,076"
3/30/2022,8.21,8.23,7.47,7.59,"132,611"
3/31/2022,7.73,8.41,7.56,7.89,"185,937"
4/1/2022,7.02,7.34,6.91,7.01,"420,378"
4/4/2022,7.25,8.64,7.25,8.25,"391,735"
4/5/2022,8.34,8.6,7.83,7.96,"241,218"
4/6/2022,8,9.11,7.8,8.33,"305,839"
4/7/2022,8.4,9.54,8.17,9.23,"315,959"
4/8/2022,9.2,9.84,8.75,9,"348,691"
4/11/2022,9.06,9.23,8.33,8.69,"173,632"
4/12/2022,8.99,9.2,8.29,8.4,"153,124"
4/13/2022,8.47,8.56,8.21,8.37,"112,572"
4/14/2022,8.48,8.7,8.29,8.62,"131,584"
4/18/2022,8.75,8.91,7.52,7.8,"494,897"
4/19/2022,8.26,8.26,7.61,7.69,"209,533"
4/20/2022,7.99,8.04,6.91,6.93,"368,467"
4/21/2022,7.52,7.74,7.04,7.15,"456,259"
4/22/2022,7.18,7.36,6.5,6.83,"341,077"
4/25/2022,6.98,6.98,6.4,6.65,"315,944"
4/26/2022,6.73,6.73,5.56,5.78,"634,918"
4/27/2022,5.83,6.33,5.83,6.28,"181,247"
4/28/2022,6.85,7.33,6.11,7.08,"538,337"
4/29/2022,7.16,7.75,6.95,7.15,"382,123"
5/2/2022,7.35,7.98,7.1,7.98,"403,054"
5/3/2022,7.95,8.78,7.55,8.68,"353,973"
5/4/2022,9.07,10,8.9,9.98,"728,045"
5/5/2022,10.15,10.25,8.22,9,"492,512"
5/6/2022,8.98,8.98,8.21,8.8,"228,574"
5/9/2022,8.44,8.79,7,7.09,"462,050"
5/10/2022,7.61,8.04,6.56,7.06,"430,823"
5/11/2022,7.17,7.44,6.52,6.59,"327,765"
5/12/2022,6.5,7.09,6.25,6.45,"298,969"
5/13/2022,6.72,6.98,6.33,6.49,"264,179"
5/16/2022,6.55,6.64,6.25,6.49,"177,298"
5/17/2022,6.57,6.9,6.54,6.9,"209,124"
5/18/2022,6.71,6.99,6.6,6.72,"157,204"
5/19/2022,6.53,7.13,6.53,7.04,"164,793"
5/20/2022,7.27,7.27,6.32,6.6,"163,078"
5/23/2022,6.57,6.82,6.25,6.46,"100,530"
5/24/2022,6.62,6.62,6.14,6.42,"179,642"
5/25/2022,6.4,6.65,6.25,6.58,"112,366"
5/26/2022,6.68,7.14,6.59,7,"158,880"
5/27/2022,7,7.29,6.92,7.24,"108,503"
5/31/2022,7.36,7.36,6.73,6.75,"204,535"
6/1/2022,6.78,6.98,6.52,6.72,"127,999"
6/2/2022,6.75,7.19,6.61,7.05,"241,389"
6/3/2022,7.05,7.42,6.9,6.95,"185,572"
6/6/2022,7.06,7.42,6.7,6.79,"283,346"
6/7/2022,6.75,7.17,6.75,6.79,"192,247"
6/8/2022,6.79,7.14,6.76,6.77,"332,473"
6/9/2022,6.8,6.93,6.46,6.78,"268,837"
6/10/2022,6.77,6.77,6.38,6.68,"186,706"
6/13/2022,6.25,6.28,5.57,5.59,"335,531"
6/14/2022,5.58,5.74,5.3,5.45,"224,639"
6/15/2022,5.46,5.76,5.38,5.68,"133,120"
6/16/2022,5.61,5.64,5.2,5.28,"191,651"
6/17/2022,5.24,5.74,5.24,5.52,"374,344"
6/21/2022,5.69,5.94,5.33,5.41,"179,780"
6/22/2022,5.21,5.57,5.2,5.45,"102,521"
6/23/2022,5.43,5.51,5.35,5.5,"107,376"
