Date,Open,High,Low,Close,Volume
1/14/2022,34.27,35.62,34.14,35.51,"19,566,035"
1/18/2022,36.09,36.93,34.96,36.03,"24,419,099"
1/19/2022,36.67,37,35.55,35.83,"18,393,252"
1/20/2022,35.1,36.42,34.84,34.95,"16,099,275"
1/21/2022,34.68,34.68,33.1,33.75,"18,434,140"
1/24/2022,32.6,34.19,31.37,34.01,"23,742,862"
1/25/2022,33.75,37.11,33.22,36.77,"28,095,586"
1/26/2022,37.35,38.28,36.37,37.06,"25,911,607"
1/27/2022,38.04,38.93,36.39,37.26,"21,102,662"
1/28/2022,37.65,38.43,36.62,37.57,"16,658,181"
1/31/2022,37.69,38.13,36.51,37.67,"16,469,302"
2/1/2022,37.25,39.55,37.18,39.29,"20,514,773"
2/2/2022,39.09,39.78,38.61,39.62,"14,752,748"
2/3/2022,39.29,40.49,38.97,40,"22,557,478"
2/4/2022,40.48,42.31,40.38,40.8,"23,757,400"
2/7/2022,40.47,41.5,39.71,41,"15,544,015"
2/8/2022,40.84,40.84,38.97,39.35,"20,307,525"
2/9/2022,39.71,41.06,39.62,40.3,"16,412,010"
2/10/2022,40.07,41.88,40.02,40.68,"17,756,306"
2/11/2022,41,43.16,40.77,42.98,"24,477,906"
2/14/2022,42.6,42.77,40.83,41.23,"21,485,913"
2/15/2022,39.76,40.47,38.81,39.85,"23,618,152"
2/16/2022,40.42,41.15,39.26,39.65,"18,292,088"
2/17/2022,39.75,40.58,39.27,39.86,"15,162,786"
2/18/2022,39.18,40.15,39.03,39.56,"14,462,708"
2/22/2022,41,41.09,37.65,38.32,"20,757,170"
2/23/2022,38.6,39.49,38.27,38.69,"15,379,390"
2/24/2022,39.78,39.98,37.56,38.92,"32,173,767"
2/25/2022,39.22,40.35,38.51,38.74,"29,780,441"
2/28/2022,38.53,43.78,38.24,43.73,"50,039,517"
3/1/2022,44.33,47.83,44.04,46.79,"68,949,820"
3/2/2022,48.53,49.29,47.02,48.37,"51,230,106"
3/3/2022,47.87,48.67,47.07,47.75,"43,690,512"
3/4/2022,48.46,56.45,48.14,56.15,"101,759,603"
3/7/2022,57.71,58.77,52.41,55.38,"81,361,215"
3/8/2022,57.31,58.74,51.43,54.6,"81,141,767"
3/9/2022,51.83,58.58,51.03,57.5,"134,668,989"
3/10/2022,57.53,59.6,56.41,58.13,"81,812,591"
3/11/2022,56.74,58.88,56.47,57.95,"48,469,639"
3/14/2022,55.75,55.99,53.32,55.59,"53,706,914"
3/15/2022,52.91,55.08,52.28,54.53,"49,163,860"
3/16/2022,53.83,54.94,52.9,52.99,"43,406,316"
3/17/2022,55.88,58.2,55.6,58.01,"59,355,480"
3/18/2022,57.89,58.15,56.2,56.24,"40,835,935"
3/21/2022,57.98,62.4,57.83,60.96,"52,222,959"
3/22/2022,59.99,61.17,58.71,59.64,"35,853,513"
3/23/2022,61.93,63.24,59.73,59.84,"39,139,724"
3/24/2022,59.62,60.44,57.32,57.75,"28,409,085"
3/25/2022,57.5,60.71,57.18,58.71,"37,749,900"
3/28/2022,56.82,57.57,55.59,56.64,"24,924,672"
3/29/2022,55.57,56.96,54.51,56.79,"29,111,203"
3/30/2022,58.31,59.84,57.11,57.48,"26,068,990"
3/31/2022,56.76,59.22,56.52,56.74,"32,217,545"
4/1/2022,56.82,58.18,56.3,58.11,"21,019,029"
4/4/2022,58.71,59.05,56.85,57.79,"19,371,054"
4/5/2022,58.41,59.81,55.6,55.72,"22,939,267"
4/6/2022,57.35,58.52,55.56,56.1,"27,902,977"
4/7/2022,56.7,57.89,55.1,57.68,"24,408,341"
4/8/2022,57.7,62.09,57.56,61.8,"41,639,002"
4/11/2022,60.55,60.6,57.6,57.92,"27,618,031"
