Date,Open,High,Low,Close,Volume
12/30/2021,"4,794.23","4,808.93","4,775.33",4778.73,0
12/31/2021,"4,775.21","4,786.83","4,765.75",4766.18,0
1/3/2022,"4,778.14","4,796.64","4,758.17",4796.56,0
1/4/2022,"4,804.51","4,818.62","4,774.27",4793.54,0
1/5/2022,"4,787.99","4,797.70","4,699.44",4700.58,0
1/6/2022,"4,693.39","4,725.01","4,671.26",4696.05,0
1/7/2022,"4,697.66","4,707.95","4,662.74",4677.03,0
1/10/2022,"4,655.34","4,673.02","4,582.24",4670.29,0
1/11/2022,"4,669.14","4,714.13","4,638.38",4713.07,0
1/12/2022,"4,728.59","4,748.83","4,706.71",4726.35,0
1/13/2022,"4,733.56","4,744.13","4,650.29",4659.03,0
1/14/2022,"4,637.99","4,665.13","4,614.75",4662.85,0
1/18/2022,"4,632.24","4,632.24","4,568.70",4577.11,0
1/19/2022,"4,588.03","4,611.55","4,530.20",4532.76,0
1/20/2022,"4,547.35","4,602.11","4,477.95",4482.73,0
1/21/2022,"4,471.38","4,494.52","4,395.34",4397.94,0
1/24/2022,"4,356.32","4,417.35","4,222.62",4410.13,0
1/25/2022,"4,366.64","4,411.01","4,287.19",4356.45,0
1/26/2022,"4,408.43","4,453.23","4,304.80",4349.93,0
1/27/2022,"4,380.58","4,428.74","4,309.50",4326.51,0
1/28/2022,"4,336.19","4,432.72","4,292.46",4431.85,0
1/31/2022,"4,431.79","4,516.89","4,414.02",4515.55,0
2/1/2022,"4,519.57","4,550.49","4,483.53",4546.54,0
2/2/2022,"4,566.39","4,595.31","4,544.32",4589.38,0
2/3/2022,"4,535.41","4,542.88","4,470.39",4477.44,0
2/4/2022,"4,482.79","4,539.66","4,451.50",4500.53,0
2/7/2022,"4,505.75","4,521.86","4,471.47",4483.87,0
2/8/2022,"4,480.02","4,531.32","4,465.40",4521.54,0
2/9/2022,"4,547.00","4,590.03","4,547.00",4587.18,0
2/10/2022,"4,553.24","4,588.92","4,484.31",4504.08,0
2/11/2022,"4,506.27","4,526.33","4,401.41",4418.64,0
2/14/2022,"4,412.61","4,426.22","4,364.84",4401.67,0
2/15/2022,"4,429.28","4,472.77","4,429.28",4471.07,0
2/16/2022,"4,455.75","4,489.55","4,429.68",4475.01,0
2/17/2022,"4,456.06","4,456.06","4,373.81",4380.26,0
2/18/2022,"4,384.57","4,394.60","4,327.22",4348.87,0
2/22/2022,"4,332.74","4,362.12","4,267.11",4304.76,0
2/23/2022,"4,324.93","4,341.51","4,221.51",4225.50,0
2/24/2022,"4,155.77","4,294.73","4,114.65",4288.70,0
2/25/2022,"4,298.38","4,385.34","4,286.83",4384.65,0
2/28/2022,"4,354.17","4,388.84","4,315.12",4373.94,0
3/1/2022,"4,363.14","4,378.45","4,279.54",4306.26,0
3/2/2022,"4,322.56","4,401.48","4,322.56",4386.54,0
3/3/2022,"4,401.31","4,416.78","4,345.56",4363.49,0
3/4/2022,"4,342.12","4,342.12","4,284.98",4328.87,0
3/7/2022,"4,327.01","4,327.01","4,199.85",4201.09,0
3/8/2022,"4,202.66","4,276.94","4,157.87",4170.70,0
3/9/2022,"4,223.10","4,299.40","4,223.10",4277.88,0
3/10/2022,"4,252.55","4,268.28","4,209.80",4259.52,0
3/11/2022,"4,279.50","4,291.01","4,200.49",4204.31,0
3/14/2022,"4,202.75","4,247.57","4,161.72",4173.11,0
3/15/2022,"4,188.82","4,271.05","4,187.90",4262.45,0
3/16/2022,"4,288.14","4,358.90","4,251.99",4357.86,0
3/17/2022,"4,345.11","4,412.67","4,335.65",4411.67,0
3/18/2022,"4,407.34","4,465.40","4,390.57",4463.12,0
3/21/2022,"4,462.40","4,481.75","4,424.30",4461.18,0
3/22/2022,"4,469.10","4,522.00","4,469.10",4511.61,0
3/23/2022,"4,493.10","4,501.07","4,455.81",4456.24,0
3/24/2022,"4,469.98","4,520.58","4,465.17",4520.16,0
3/25/2022,"4,522.91","4,546.03","4,501.07",4543.06,0
3/28/2022,"4,541.09","4,575.65","4,517.69",4575.52,0
3/29/2022,"4,602.86","4,637.30","4,589.66",4631.60,0
3/30/2022,"4,624.20","4,627.77","4,581.32",4602.45,0
3/31/2022,"4,599.02","4,603.07","4,530.41",4530.41,0
4/1/2022,"4,540.32","4,548.70","4,507.57",4545.86,0
4/4/2022,"4,547.97","4,583.50","4,539.21",4582.64,0
4/5/2022,"4,572.45","4,593.45","4,514.17",4525.12,0
4/6/2022,"4,494.17","4,503.94","4,450.04",4481.15,0
4/7/2022,"4,474.65","4,521.16","4,450.30",4500.21,0
4/8/2022,"4,494.15","4,520.41","4,474.60",4488.28,0
4/11/2022,"4,462.64","4,464.35","4,408.38",4412.53,0
4/12/2022,"4,437.59","4,471.00","4,381.34",4397.45,0
4/13/2022,"4,394.30","4,453.92","4,392.70",4446.59,0
