Date,Open,High,Low,Close,Volume
1/19/2022,18.53,19.42,18.03,18.32,"35,096,849"
1/20/2022,18.59,20.16,17.95,18.07,"51,078,730"
1/21/2022,17.77,18.56,16.22,17.97,"65,185,653"
1/24/2022,16.24,17.29,14.23,16.64,"82,538,968"
1/25/2022,15.89,16.62,15.55,16.02,"42,434,571"
1/26/2022,16.21,18.16,15.65,15.94,"76,722,875"
1/27/2022,16.11,16.59,14.4,14.52,"50,530,189"
1/28/2022,14.6,15.25,13.4,15.06,"53,951,582"
1/31/2022,15.14,16.25,15,16.06,"41,447,901"
2/1/2022,18.15,18.71,16.52,16.86,"124,427,691"
2/2/2022,16.55,17.07,15.38,15.42,"48,626,044"
2/3/2022,15.04,15.85,14.65,14.87,"39,215,123"
2/4/2022,15,15.7,14.74,15.35,"32,396,547"
2/7/2022,15.62,16,14.68,14.91,"29,755,158"
2/8/2022,14.9,16.82,14.65,16.43,"51,272,462"
2/9/2022,16.3,19,16.14,18.94,"75,867,368"
2/10/2022,17.9,20.96,17.85,18.59,"98,957,390"
2/11/2022,18.62,19.66,18.33,18.81,"68,425,903"
2/14/2022,18.83,19.36,17.66,17.75,"46,106,739"
2/15/2022,18.05,19.55,17.96,19.48,"39,851,977"
2/16/2022,19.35,20.58,19.26,19.67,"49,444,604"
2/17/2022,19.48,20.21,18.47,18.94,"40,130,240"
2/18/2022,18.99,19.2,17.68,17.9,"31,953,540"
2/22/2022,17.36,18.13,16.11,16.47,"42,968,536"
2/23/2022,16.73,17.02,15.62,15.73,"30,155,909"
2/24/2022,14.97,17.77,14.96,17.68,"54,405,749"
2/25/2022,17.71,17.86,16.53,17.66,"36,944,111"
2/28/2022,18,19.34,17.61,18.86,"42,772,331"
3/1/2022,19,19.43,17.83,18.32,"44,003,031"
3/2/2022,18.01,18.69,17.31,18.53,"35,038,168"
3/3/2022,18.63,18.7,17.8,18.06,"24,825,943"
3/4/2022,18.05,18.32,16.35,16.57,"39,628,154"
3/7/2022,16.91,17.1,14.9,15.21,"39,507,295"
3/8/2022,15.15,16.26,14.38,15.39,"35,370,432"
3/9/2022,15.72,16.27,15.43,15.71,"25,206,370"
3/10/2022,15.63,15.81,14.78,15.32,"25,666,513"
3/11/2022,15.31,15.4,14.27,14.3,"29,202,850"
3/14/2022,14.05,14.16,12.9,13.56,"32,959,762"
3/15/2022,13.76,14.69,13.17,14.48,"40,853,149"
3/16/2022,14.51,15.69,14.23,15.23,"39,104,464"
3/17/2022,14.91,15.61,14.86,15.19,"24,130,429"
3/18/2022,14.98,15.9,14.97,15.8,"31,992,089"
3/21/2022,15.69,16.55,15.28,15.86,"34,256,729"
3/22/2022,15.88,18.91,15.75,18.26,"81,798,913"
3/23/2022,18.75,22.35,18.18,20.74,"170,142,626"
3/24/2022,20.05,20.57,18.86,20.23,"68,471,681"
3/25/2022,19.95,21.7,19.71,20.24,"71,814,742"
3/28/2022,20.61,29.73,20.53,29.33,"226,704,130"
3/29/2022,30.03,34.33,26.41,29.44,"212,293,149"
3/30/2022,28.56,29.23,25.35,25.68,"95,384,221"
3/31/2022,24.77,25.92,23.26,24.64,"89,238,970"
4/1/2022,25.13,25.28,22.34,23.3,"65,735,714"
4/4/2022,23.48,23.75,21.94,23.31,"51,536,254"
4/5/2022,23.18,23.96,21,21.21,"41,624,072"
4/6/2022,20.65,21.92,20.01,20.39,"52,212,223"
4/7/2022,20.63,20.94,18.63,19.73,"53,370,520"
4/8/2022,19.7,19.7,18.13,18.24,"42,674,678"
4/11/2022,18.03,18.82,17.72,18.72,"37,554,595"
4/12/2022,18.88,19.01,17.2,17.42,"42,073,102"
4/13/2022,17.55,18.58,16.94,18.53,"36,748,758"
4/14/2022,18.27,18.69,17.9,18.02,"25,333,688"
4/18/2022,18.1,18.19,16.97,17.48,"23,892,598"
4/19/2022,17.38,18.92,17.1,18.68,"31,744,903"
4/20/2022,18.4,18.66,17.3,17.34,"23,913,478"
4/21/2022,17.41,18.07,16.66,16.85,"26,372,735"
4/22/2022,17.12,17.61,16.1,16.52,"26,431,730"
4/25/2022,16.39,17.03,16.29,16.96,"26,444,161"
4/26/2022,16.89,17.09,15.49,15.5,"24,732,783"
4/27/2022,15.39,16.25,15.25,15.85,"26,605,916"
4/28/2022,15.71,16.13,14.7,15.64,"29,857,682"
4/29/2022,15.63,16.05,15.22,15.3,"21,342,739"
5/2/2022,15.1,15.49,14.61,15.26,"23,883,219"
5/3/2022,15.16,16.11,14.73,15.51,"31,834,292"
5/4/2022,15.22,15.91,14.68,15.72,"26,421,728"
5/5/2022,15.68,15.79,14.36,14.69,"26,987,591"
5/6/2022,14.66,14.84,13.52,13.76,"33,033,083"
5/9/2022,13.63,13.63,12.43,12.52,"40,732,176"
5/10/2022,13.15,14.01,11.5,11.84,"55,693,441"
5/11/2022,11.56,11.65,9.91,10.37,"58,508,742"
5/12/2022,10.05,13.71,9.7,11.2,"104,887,814"
5/13/2022,12.11,12.49,11.49,11.81,"58,129,256"
5/16/2022,11.9,12.66,11.5,11.71,"40,960,021"
5/17/2022,12.06,12.92,11.84,12.9,"38,183,480"
5/18/2022,12.73,14.22,12.51,12.76,"53,729,442"
5/19/2022,12.77,13.5,12.66,13.08,"50,443,581"
5/20/2022,13.18,13.35,11.43,12.03,"41,387,915"
5/23/2022,12.01,12.02,11.45,11.58,"24,854,420"
5/24/2022,11.33,11.39,10.3,10.39,"37,689,318"
5/25/2022,10.48,11.88,10.4,11.88,"53,627,955"
5/26/2022,11.75,12.88,11.59,12.23,"71,002,370"
5/27/2022,12.65,14.47,12.4,14.43,"89,906,007"
5/31/2022,15.75,16.13,13.93,14.34,"106,975,069"
6/1/2022,14.01,14.32,12.8,12.81,"55,539,665"
6/2/2022,12.69,13.54,12.3,13.3,"45,309,898"
6/3/2022,12.78,13.06,12.18,12.45,"39,226,048"
6/6/2022,12.42,12.58,11.77,11.95,"34,537,923"
6/7/2022,12.02,13.25,11.81,13.07,"40,370,551"
6/8/2022,12.8,14.25,12.71,13.52,"51,742,173"
6/9/2022,13.37,13.53,12.57,12.78,"32,363,223"
6/10/2022,12.63,12.73,12.07,12.43,"26,632,519"
6/13/2022,11.91,12.2,11.09,11.48,"27,915,989"
6/14/2022,11.52,12.05,11.11,11.92,"25,723,536"
6/15/2022,11.55,12.97,11.54,12.77,"37,213,571"
6/16/2022,12.22,12.5,11.43,11.79,"26,518,120"
6/17/2022,11.86,12.71,11.86,12.53,"33,042,339"
6/21/2022,12.75,12.93,12.22,12.5,"30,357,369"
6/22/2022,12.5,13.22,12.37,12.6,"26,749,741"
6/23/2022,12.79,12.81,11.44,12.05,"36,073,128"
6/24/2022,12.17,12.57,11.93,12.47,"80,758,991"
6/27/2022,12.58,14.75,12.31,14.13,"77,601,862"
6/28/2022,14,14.3,13.31,13.38,"39,752,693"
6/29/2022,13.07,13.89,12.8,13.65,"27,690,351"
6/30/2022,13.4,13.85,12.91,13.55,"25,348,273"
7/1/2022,13.48,14.31,13.26,13.53,"30,952,624"
7/5/2022,13.55,13.58,12.56,12.78,"30,342,375"
7/6/2022,12.68,13.04,12.16,12.57,"25,762,111"
7/7/2022,12.54,14.69,12.41,14.48,"62,763,248"
7/8/2022,13.89,15.32,13.84,14.66,"48,920,799"
7/11/2022,14.49,14.99,14.07,14.95,"32,497,671"
7/12/2022,14.95,16.14,14.81,15.6,"52,835,296"
7/13/2022,15.05,15.93,14.9,15.14,"36,666,701"
7/14/2022,14.95,15.68,14.73,15.06,"35,302,705"
7/15/2022,15.27,15.39,14.71,15.37,"26,144,354"
7/18/2022,15.6,16.96,15.53,16.54,"54,040,486"
7/19/2022,17.41,17.82,16.25,16.36,"50,521,490"
7/20/2022,16.52,17.73,16.33,17.52,"47,582,860"
7/21/2022,17.9,18.37,16.95,17,"39,349,968"
7/22/2022,16.7,16.88,15.28,15.5,"31,469,866"
7/25/2022,15.55,15.57,14.8,14.91,"20,684,447"
7/26/2022,14.66,14.73,13.94,14.03,"21,317,070"
7/27/2022,14.23,14.54,13.82,14.48,"23,191,985"
7/28/2022,14.63,15.29,14.2,14.58,"24,618,685"
7/29/2022,14.31,14.87,14.04,14.56,"18,222,476"
8/1/2022,14.33,15.5,14.32,15.37,"23,919,728"
8/2/2022,15.45,16.99,15.31,16.86,"42,734,216"
8/3/2022,17.2,18.27,16.78,18.21,"41,951,881"
8/4/2022,18.98,19.75,18.25,18.66,"66,585,470"
8/5/2022,16.97,22.77,16.5,22.18,"125,780,168"
8/8/2022,24.06,27.5,23.1,23.96,"132,819,155"
8/9/2022,23.2,23.85,21.74,22.45,"62,368,044"
8/10/2022,23.39,23.8,20.73,23.67,"64,157,025"
8/11/2022,24.07,26.08,23.68,25.46,"79,337,864"
8/12/2022,26.94,27.2,23.96,24.44,"73,386,045"
8/15/2022,24.07,24.49,22.67,24.21,"50,182,650"
8/16/2022,24.01,26.16,23.4,24.81,"72,301,083"
8/17/2022,24.59,25.45,21.28,21.36,"59,412,032"
8/18/2022,21.86,22.09,19.12,19.29,"50,428,990"
8/19/2022,18.04,18.96,17.5,18.02,"52,461,489"
8/22/2022,11.33,13.05,10.3,10.46,"151,158,696"
8/23/2022,10.72,10.94,9.47,9.56,"80,188,147"
8/24/2022,9.59,9.9,9.23,9.58,"50,478,311"
8/25/2022,9.78,9.94,9.31,9.57,"31,596,347"
8/26/2022,9.58,9.67,8.96,9.17,"36,395,482"
8/29/2022,9.04,9.61,8.91,9.47,"39,602,635"
8/30/2022,9.59,9.64,9.03,9.27,"25,167,526"
8/31/2022,9.11,9.28,8.68,9.12,"33,009,710"
9/1/2022,9.03,9.03,8.3,8.58,"26,335,586"
9/2/2022,8.78,9.17,8.35,8.88,"27,614,745"
9/6/2022,8.65,8.75,8.17,8.19,"20,866,584"
9/7/2022,8.07,8.46,7.89,8.39,"21,748,237"
9/8/2022,8.3,8.72,8.24,8.64,"16,708,581"
9/9/2022,8.86,9.73,8.78,9.72,"36,584,216"
9/12/2022,10.01,10.75,9.85,10.22,"47,225,552"
9/13/2022,9.63,9.89,9.45,9.72,"24,911,241"
9/14/2022,9.52,9.93,9.21,9.91,"22,078,182"
9/15/2022,9.75,10.39,9.71,9.88,"25,060,274"
9/16/2022,9.62,9.68,8.98,8.98,"31,989,605"
9/19/2022,9.07,9.35,8.85,9.18,"23,541,635"
9/20/2022,9.23,9.32,8.62,8.71,"17,186,945"
9/21/2022,8.73,8.96,8.46,8.6,"20,213,351"
9/22/2022,8.62,8.66,7.73,7.85,"26,927,267"
9/23/2022,7.72,8.14,7.65,7.99,"19,910,105"
9/26/2022,7.65,7.97,6.81,6.83,"43,284,753"
9/27/2022,7.16,7.52,6.98,7.45,"33,360,098"
9/28/2022,7.3,7.71,7.11,7.67,"24,459,510"
9/29/2022,7.46,7.61,6.9,7.1,"22,501,992"
9/30/2022,6.97,7.28,6.82,6.97,"16,557,015"
10/3/2022,6.84,6.95,6.61,6.88,"21,499,912"
10/4/2022,6.98,8.13,6.97,7.83,"42,548,254"
10/5/2022,7.55,7.55,7.04,7.33,"22,699,680"
10/6/2022,7.38,7.62,7.12,7.12,"19,345,646"
10/7/2022,7.1,7.1,6.4,6.53,"23,436,242"
